Year,Chennai,Cuddalore,Nagapattinam,Thoothukudi,Kanyakumari,Ramanathapuram
2000,1525.2,1271.7,1138.4,611.3,1038.2,672.5
2001,1365.2,1143.3,1266.4,722.0,1482.5,748.6
2002,1563.2,962.1,1421.0,800.3,991.5,880.1
2003,1783.8,886.6,1576.5,692.8,1082.8,950.3
2004,1341.0,1054.8,1225.3,699.7,1020.7,875.8
2005,1766.7,1544.6,1806.0,1295.4,1294.2,1367.6
2006,1470.3,1085.3,1625.8,683.1,1169.0,1165.6
2007,1654.6,1247.3,1124.2,578.5,814.5,837.4
2008,1253.6,847.7,1542.5,623.1,883.8,912.6
2009,1267.7,1127.2,1412.6,615.5,1170.0,621.9
2010,1830.5,1029.5,1651.0,753.8,1309.2,925.6
2011,1167.1,1129.2,1322.7,345.7,1283.0,888.9
2012,965.3,1258.8,1428.2,703.4,1135.6,975.3
2013,1258.3,889.1,1712.3,615.1,1432.1,832.6
2014,1144.8,776.8,1332.4,627.7,844.0,922.0
2015,2052.6,1741.5,2503.8,1000.5,1210.4,1244.0
2016,1222.8,981.2,1244.8,642.4,1342.6,624.8
2017,860.8,1153.6,1326.3,887.0,1188.6,628.5
2018,1241.4,741.6,998.5,683.0,1028.8,894.5
2019,1550.6,1149.8,1592.6,692.9,959.5,659.6
2020,2687.0,1337.0,2143.4,1038.0,1551.2,1276.5
2021,1499.3,1200.2,1345.6,660.0,801.0,910.9
2022,1109.9,1260.0,1697.7,462.7,857.1,982.6
2023,1972.2,1667.7,1664.1,700.6,2076.9,1266.3
2024,1248.7,1234.0,1289.8,543.9,955.3,935.4
